Indicator Name,Indicator Code,Indicator Name and Definition
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,"TM.TAX.MRCH.WM.FN.ZS - Tariff rate, most favored nation, weighted mean, all products (%)"
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,"TM.TAX.MANF.WM.FN.ZS - Tariff rate, most favored nation, weighted mean, manufactured products (%)"
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,"TM.TAX.TCOM.WM.FN.ZS - Tariff rate, most favored nation, weighted mean, primary products (%)"
Tax payments (number),IC.TAX.PAYM,IC.TAX.PAYM - Tax payments (number)
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,GC.TAX.TOTL.GD.ZS - Tax revenue (% of GDP)
Tax revenue (current LCU),GC.TAX.TOTL.CN,GC.TAX.TOTL.CN - Tax revenue (current LCU)
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,NY.TAX.NIND.KN - Taxes less subsidies on products (constant LCU)
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,NY.TAX.NIND.CN - Taxes less subsidies on products (current LCU)
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,NY.TAX.NIND.CD - Taxes less subsidies on products (current US$)
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,GC.TAX.EXPT.ZS - Taxes on exports (% of tax revenue)
Taxes on exports (current LCU),GC.TAX.EXPT.CN,GC.TAX.EXPT.CN - Taxes on exports (current LCU)
Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,GC.TAX.GSRV.RV.ZS - Taxes on goods and services (% of revenue)
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,GC.TAX.GSRV.VA.ZS - Taxes on goods and services (% value added of industry and services)
Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,GC.TAX.GSRV.CN - Taxes on goods and services (current LCU)
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,"GC.TAX.YPKG.RV.ZS - Taxes on income, profits and capital gains (% of revenue)"
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,"GC.TAX.YPKG.ZS - Taxes on income, profits and capital gains (% of total taxes)"
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN,"GC.TAX.YPKG.CN - Taxes on income, profits and capital gains (current LCU)"
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,GC.TAX.INTT.RV.ZS - Taxes on international trade (% of revenue)
Taxes on international trade (current LCU),GC.TAX.INTT.CN,GC.TAX.INTT.CN - Taxes on international trade (current LCU)
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,"BX.GRT.TECH.CD.WD - Technical cooperation grants (BoP, current US$)"
Technicians in R&D (per million people),SP.POP.TECH.RD.P6,SP.POP.TECH.RD.P6 - Technicians in R&D (per million people)
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,SP.MTR.1519.ZS - Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,NY.TTF.GNFS.KN - Terms of trade adjustment (constant LCU)
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,ER.PTD.TOTL.ZS - Terrestrial and marine protected areas (% of total territorial area)
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,ER.LND.PTLD.ZS - Terrestrial protected areas (% of total land area)
"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,"SE.TER.TCHR.FE.ZS - Tertiary education, academic staff (% female)"
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,NV.MNF.TXTL.ZS.UN - Textiles and clothing (% of value added in manufacturing)
Time required to build a warehouse (days),IC.WRH.DURS,IC.WRH.DURS - Time required to build a warehouse (days)
Time required to enforce a contract (days),IC.LGL.DURS,IC.LGL.DURS - Time required to enforce a contract (days)
Time required to get electricity (days),IC.ELC.TIME,IC.ELC.TIME - Time required to get electricity (days)
Time required to obtain an operating license (days),IC.FRM.DURS,IC.FRM.DURS - Time required to obtain an operating license (days)
Time required to register property (days),IC.PRP.DURS,IC.PRP.DURS - Time required to register property (days)
Time required to start a business (days),IC.REG.DURS,IC.REG.DURS - Time required to start a business (days)
"Time required to start a business, female (days)",IC.REG.DURS.FE,"IC.REG.DURS.FE - Time required to start a business, female (days)"
"Time required to start a business, male (days)",IC.REG.DURS.MA,"IC.REG.DURS.MA - Time required to start a business, male (days)"
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,IC.GOV.DURS.ZS - Time spent dealing with the requirements of government regulations (% of senior management time)
"Time to export, border compliance (hours)",IC.EXP.TMBC,"IC.EXP.TMBC - Time to export, border compliance (hours)"
"Time to export, documentary compliance (hours)",IC.EXP.TMDC,"IC.EXP.TMDC - Time to export, documentary compliance (hours)"
"Time to import, border compliance (hours)",IC.IMP.TMBC,"IC.IMP.TMBC - Time to import, border compliance (hours)"
"Time to import, documentary compliance (hours)",IC.IMP.TMDC,"IC.IMP.TMDC - Time to import, documentary compliance (hours)"
Time to obtain an electrical connection (days),IC.ELC.DURS,IC.ELC.DURS - Time to obtain an electrical connection (days)
Time to prepare and pay taxes (hours),IC.TAX.DURS,IC.TAX.DURS - Time to prepare and pay taxes (hours)
Time to resolve insolvency (years),IC.ISV.DURS,IC.ISV.DURS - Time to resolve insolvency (years)
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"SH.ALC.PCAP.LI - Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,"SH.ALC.PCAP.FE.LI - Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,"SH.ALC.PCAP.MA.LI - Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"DT.TDS.DECT.EX.ZS - Total debt service (% of exports of goods, services and primary income)"
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,DT.TDS.DECT.GN.ZS - Total debt service (% of GNI)
Total fisheries production (metric tons),ER.FSH.PROD.MT,ER.FSH.PROD.MT - Total fisheries production (metric tons)
Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,EN.GHG.TOT.ZG.AR5 - Total greenhouse gas emissions excluding LULUCF (% change from 1990)
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,EN.GHG.ALL.MT.CE.AR5 - Total greenhouse gas emissions excluding LULUCF (Mt CO2e)
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,EN.GHG.ALL.PC.CE.AR5 - Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,EN.GHG.ALL.LU.MT.CE.AR5 - Total greenhouse gas emissions including LULUCF (Mt CO2e)
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,NY.GDP.TOTL.RT.ZS - Total natural resources rents (% of GDP)
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,FI.RES.TOTL.DT.ZS - Total reserves (% of total external debt)
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"FI.RES.TOTL.CD - Total reserves (includes gold, current US$)"
Total reserves in months of imports,FI.RES.TOTL.MO,FI.RES.TOTL.MO - Total reserves in months of imports
Total reserves minus gold (current US$),FI.RES.XGLD.CD,FI.RES.XGLD.CD - Total reserves minus gold (current US$)
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,IC.TAX.TOTL.CP.ZS - Total tax and contribution rate (% of profit)
Trade (% of GDP),NE.TRD.GNFS.ZS,NE.TRD.GNFS.ZS - Trade (% of GDP)
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,BG.GSR.NFSV.GD.ZS - Trade in services (% of GDP)
"Trademark applications, nonresident, by count",IP.TMK.NRCT,"IP.TMK.NRCT - Trademark applications, nonresident, by count"
"Trademark applications, resident, by count",IP.TMK.RSCT,"IP.TMK.RSCT - Trademark applications, resident, by count"
Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,SE.SEC.TCAQ.LO.ZS - Trained teachers in lower secondary education (% of total teachers)
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,"SE.SEC.TCAQ.LO.FE.ZS - Trained teachers in lower secondary education, female (% of female teachers)"
"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,"SE.SEC.TCAQ.LO.MA.ZS - Trained teachers in lower secondary education, male (% of male teachers)"
Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,SE.PRE.TCAQ.ZS - Trained teachers in preprimary education (% of total teachers)
"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,"SE.PRE.TCAQ.FE.ZS - Trained teachers in preprimary education, female (% of female teachers)"
"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,"SE.PRE.TCAQ.MA.ZS - Trained teachers in preprimary education, male (% of male teachers)"
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,SE.PRM.TCAQ.ZS - Trained teachers in primary education (% of total teachers)
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,"SE.PRM.TCAQ.FE.ZS - Trained teachers in primary education, female (% of female teachers)"
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,"SE.PRM.TCAQ.MA.ZS - Trained teachers in primary education, male (% of male teachers)"
Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,SE.SEC.TCAQ.ZS - Trained teachers in secondary education (% of total teachers)
"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,"SE.SEC.TCAQ.FE.ZS - Trained teachers in secondary education, female (% of female teachers)"
"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,"SE.SEC.TCAQ.MA.ZS - Trained teachers in secondary education, male (% of male teachers)"
Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,SE.SEC.TCAQ.UP.ZS - Trained teachers in upper secondary education (% of total teachers)
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,"SE.SEC.TCAQ.UP.FE.ZS - Trained teachers in upper secondary education, female (% of female teachers)"
"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,"SE.SEC.TCAQ.UP.MA.ZS - Trained teachers in upper secondary education, male (% of male teachers)"
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,TX.VAL.TRAN.ZS.WT - Transport services (% of commercial service exports)
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,TM.VAL.TRAN.ZS.WT - Transport services (% of commercial service imports)
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,"BX.GSR.TRAN.ZS - Transport services (% of service exports, BoP)"
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,"BM.GSR.TRAN.ZS - Transport services (% of service imports, BoP)"
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,TX.VAL.TRVL.ZS.WT - Travel services (% of commercial service exports)
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,TM.VAL.TRVL.ZS.WT - Travel services (% of commercial service imports)
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,"BX.GSR.TRVL.ZS - Travel services (% of service exports, BoP)"
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,"BM.GSR.TRVL.ZS - Travel services (% of service imports, BoP)"
"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,"SH.TBS.DTEC.ZS - Tuberculosis case detection rate (%, all forms)"
Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,SH.TBS.CURE.ZS - Tuberculosis treatment success rate (% of new cases)
UHC service coverage index,SH.UHC.SRVS.CV.XD,SH.UHC.SRVS.CV.XD - UHC service coverage index
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,SL.UEM.ADVN.ZS - Unemployment with advanced education (% of total labor force with advanced education)
"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,"SL.UEM.ADVN.FE.ZS - Unemployment with advanced education, female (% of female labor force with advanced education)"
"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,"SL.UEM.ADVN.MA.ZS - Unemployment with advanced education, male (% of male labor force with advanced education)"
Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,SL.UEM.BASC.ZS - Unemployment with basic education (% of total labor force with basic education)
"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,"SL.UEM.BASC.FE.ZS - Unemployment with basic education, female (% of female labor force with basic education)"
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,"SL.UEM.BASC.MA.ZS - Unemployment with basic education, male (% of male labor force with basic education)"
Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,SL.UEM.INTM.ZS - Unemployment with intermediate education (% of total labor force with intermediate education)
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,"SL.UEM.INTM.FE.ZS - Unemployment with intermediate education, female (% of female labor force with intermediate education)"
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,"SL.UEM.INTM.MA.ZS - Unemployment with intermediate education, male (% of male labor force with intermediate education)"
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"SL.UEM.TOTL.FE.ZS - Unemployment, female (% of female labor force) (modeled ILO estimate)"
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,"SL.UEM.TOTL.FE.NE.ZS - Unemployment, female (% of female labor force) (national estimate)"
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,"SL.UEM.TOTL.MA.ZS - Unemployment, male (% of male labor force) (modeled ILO estimate)"
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,"SL.UEM.TOTL.MA.NE.ZS - Unemployment, male (% of male labor force) (national estimate)"
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"SL.UEM.TOTL.ZS - Unemployment, total (% of total labor force) (modeled ILO estimate)"
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,"SL.UEM.TOTL.NE.ZS - Unemployment, total (% of total labor force) (national estimate)"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,"SL.UEM.1524.FE.ZS - Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,"SL.UEM.1524.FE.NE.ZS - Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,"SL.UEM.1524.MA.ZS - Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,"SL.UEM.1524.MA.NE.ZS - Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,"SL.UEM.1524.ZS - Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
