Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Economic,['Economic'],Economic
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN,Economic,['Economic'],Economic
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,Economic,['Economic'],Economic
Taxes on international trade (current LCU),GC.TAX.INTT.CN,Economic,['Economic'],Economic
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,Technology,"['Technology', 'Financial Services']",Financial Services
Technicians in R&D (per million people),SP.POP.TECH.RD.P6,Technology,['Technology'],Technology
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Demographics,"['Demographics', 'Gender']",Gender
Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,Economic,['Economic'],Economic
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Natural Resources,['Natural Resources'],Natural Resources
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Agriculture,['Agriculture'],Agriculture
"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,Education,"['Education', 'Gender']",Education
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,Manufacturing,['Manufacturing'],Manufacturing
Time required to build a warehouse (days),IC.WRH.DURS,Military,['Military'],Military
Time required to enforce a contract (days),IC.LGL.DURS,Other,[],Other
Time required to get electricity (days),IC.ELC.TIME,Infrastructure,['Infrastructure'],Infrastructure
Time required to obtain an operating license (days),IC.FRM.DURS,Other,[],Other
Time required to register property (days),IC.PRP.DURS,Other,[],Other
Time required to start a business (days),IC.REG.DURS,Economic,['Economic'],Economic
"Time required to start a business, female (days)",IC.REG.DURS.FE,Economic,"['Economic', 'Gender']",Gender
"Time required to start a business, male (days)",IC.REG.DURS.MA,Economic,['Economic'],Economic
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,Demographics,"['Demographics', 'Governance']",Demographics
"Time to export, border compliance (hours)",IC.EXP.TMBC,Economic,['Economic'],Economic
"Time to export, documentary compliance (hours)",IC.EXP.TMDC,Economic,['Economic'],Economic
"Time to import, border compliance (hours)",IC.IMP.TMBC,Economic,['Economic'],Economic
"Time to import, documentary compliance (hours)",IC.IMP.TMDC,Economic,['Economic'],Economic
Time to obtain an electrical connection (days),IC.ELC.DURS,Other,[],Other
Time to prepare and pay taxes (hours),IC.TAX.DURS,Economic,['Economic'],Economic
Time to resolve insolvency (years),IC.ISV.DURS,Other,[],Other
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Economic,"['Economic', 'Demographics']",Economic
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Economic,"['Economic', 'Demographics', 'Gender']",Gender
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Economic,"['Economic', 'Demographics']",Economic
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Economic,"['Economic', 'Education']",Economic
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,Economic,['Economic'],Economic
Total fisheries production (metric tons),ER.FSH.PROD.MT,Agriculture,['Agriculture'],Agriculture
Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,Climate,['Climate'],Climate
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,Climate,['Climate'],Climate
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,Climate,['Climate'],Climate
Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,Climate,['Climate'],Climate
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Economic,"['Economic', 'Natural Resources']",Economic
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Economic,['Economic'],Economic
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Economic,['Economic'],Economic
Total reserves in months of imports,FI.RES.TOTL.MO,Economic,['Economic'],Economic
Total reserves minus gold (current US$),FI.RES.XGLD.CD,Economic,['Economic'],Economic
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,Economic,['Economic'],Economic
Trade (% of GDP),NE.TRD.GNFS.ZS,Economic,['Economic'],Economic
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,Economic,['Economic'],Economic
"Trademark applications, nonresident, by count",IP.TMK.NRCT,Economic,['Economic'],Economic
"Trademark applications, resident, by count",IP.TMK.RSCT,Economic,['Economic'],Economic
Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,Education,['Education'],Education
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,Education,"['Education', 'Gender']",Education
"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,Education,['Education'],Education
Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,Education,['Education'],Education
"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,Education,"['Education', 'Gender']",Education
"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,Education,['Education'],Education
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,Education,['Education'],Education
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,Education,"['Education', 'Gender']",Education
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,Education,['Education'],Education
Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,Education,['Education'],Education
"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,Education,"['Education', 'Gender']",Education
"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,Education,['Education'],Education
Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,Education,['Education'],Education
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,Education,"['Education', 'Gender']",Education
"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,Education,['Education'],Education
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,Economic,"['Economic', 'Infrastructure']",Economic
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,Economic,"['Economic', 'Infrastructure']",Economic
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,Economic,"['Economic', 'Infrastructure', 'Financial Services']",Financial Services
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,Economic,"['Economic', 'Infrastructure', 'Financial Services']",Financial Services
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,Economic,"['Economic', 'Tourism & Travel']",Economic
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,Economic,"['Economic', 'Tourism & Travel']",Economic
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,Economic,"['Economic', 'Financial Services', 'Tourism & Travel']",Financial Services
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,Economic,"['Economic', 'Financial Services', 'Tourism & Travel']",Financial Services
"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,Healthcare,['Healthcare'],Healthcare
Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,Healthcare,"['Healthcare', 'Financial Services']",Financial Services
UHC service coverage index,SH.UHC.SRVS.CV.XD,Demographics,['Demographics'],Demographics
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Education,"['Education', 'Labor']",Education
"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,Education,"['Education', 'Labor', 'Gender']",Education
"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,Education,"['Education', 'Labor']",Education
Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,Education,"['Education', 'Labor']",Education
"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,Education,"['Education', 'Labor', 'Gender']",Education
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,Education,"['Education', 'Labor']",Education
Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,Education,"['Education', 'Labor']",Education
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,Education,"['Education', 'Labor', 'Gender']",Education
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,Education,"['Education', 'Labor']",Education
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Labor,"['Labor', 'Gender']",Gender
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Labor,['Labor'],Labor
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Labor,['Labor'],Labor
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Labor,['Labor'],Labor
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Labor,['Labor'],Labor
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,Demographics,"['Demographics', 'Gender']",Gender
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Agriculture,"['Agriculture', 'Infrastructure']",Agriculture
Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,Agriculture,"['Agriculture', 'Infrastructure']",Agriculture
Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,Agriculture,"['Agriculture', 'Infrastructure']",Agriculture
Urban population,SP.URB.TOTL,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Urban population growth (annual %),SP.URB.GROW,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,Infrastructure,"['Infrastructure', 'Demographics']",Infrastructure
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Economic,"['Economic', 'Financial Services']",Economic
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,Demographics,['Demographics'],Demographics
Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,Economic,"['Economic', 'Demographics']",Economic
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Demographics,['Demographics'],Demographics
Voice and Accountability: Estimate,VA.EST,Governance,['Governance'],Governance
Voice and Accountability: Number of Sources,VA.NO.SRC,Governance,['Governance'],Governance
Voice and Accountability: Percentile Rank,VA.PER.RNK,Governance,['Governance'],Governance
"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,Governance,['Governance'],Governance
"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,Governance,['Governance'],Governance
Voice and Accountability: Standard Error,VA.STD.ERR,Governance,['Governance'],Governance
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,Poverty,"['Poverty', 'Labor', 'Gender']",Gender
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,Poverty,"['Poverty', 'Labor']",Poverty
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,Poverty,"['Poverty', 'Labor']",Poverty
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Demographics,"['Demographics', 'Labor']",Demographics
Wanted fertility rate (births per woman),SP.DYN.WFRT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Economic,"['Economic', 'Infrastructure', 'Natural Resources']",Economic
Wholesale price index (2010 = 100),FP.WPI.TOTL,Economic,['Economic'],Economic
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Economic,"['Economic', 'Gender']",Gender
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,Gender,['Gender'],Gender
